2152, -2333, 15619, 
1786, -2705, 15815, 
2134, -2409, 15520, 
2598, -2757, 15478, 
2761, -3175, 15408, 
3131, -3443, 15191, 
3301, -3592, 15151, 
3468, -3839, 15142, 
3751, -3780, 15115, 
3760, -3919, 15037, 
3714, -4246, 14908, 
3822, -3894, 14964, 
3200, -4206, 15277, 
3897, -3596, 15764, 
3492, -4280, 14946, 
4002, -3752, 15335, 
3959, -3814, 14995, 
3889, -3955, 14879, 
4026, -3651, 14955, 
3776, -3934, 14912, 
3890, -3900, 14850, 
2846, -4566, 14623, 
4110, -3800, 14774, 
3831, -3896, 15033, 
4080, -3773, 14982, 
3806, -3698, 14993, 
3640, -3610, 15351, 
3676, -3738, 15001, 
3749, -3429, 14852, 
3412, -3598, 15156, 
3186, -3261, 15280, 
2831, -2894, 15419, 
2111, -2321, 15578, 
1916, -2079, 15789, 
1747, -1724, 15804, 
1317, -1322, 15852, 
1165, -1040, 15993, 
327, -521, 16345, 	
-10, -163, 16175, 	
-276, 197, 16046, 	
-795, 518, 15940, 	
-1529, -260, 16688, 
-51, 483, 16623, 	
-1293, 886, 16112, 	
-919, 471, 15279, 	
-734, 844, 16215, 	
-761, 360, 16160, 	
-527, 305, 16131, 	
-934, -88, 15717, 	
-414, 188, 16039, 	
-66, 303, 15967, 	
-483, 96, 16116, 	
-230, 128, 16055, 	
-215, -96, 16170, 	
-209, -73, 16083, 	
-93, -206, 16065, 	
-102, -298, 16398, 	
356, -568, 16091, 	
427, -1175, 15941, 	
781, -1083, 15957, 	
1028, -1318, 16100, 
1240, -1509, 15924, 
1319, -1723, 15929, 
1460, -1839, 15826, 
1316, -1557, 15999, 
885, -1039, 15879, 	
133, -408, 15894, 	
-181, 292, 15986, 	
-219, 394, 16102, 	
-376, 410, 16148, 	
-329, 215, 16170, 	
-156, 52, 16052, 	
-10, 51, 16253, 	
305, -193, 16106, 	
418, -468, 16057, 	
781, -870, 16191, 	
1185, -1210, 16011, 
1524, -1398, 15644, 
1874, -1894, 15805, 
2626, -2701, 15364, 
2822, -2922, 15585, 
3132, -3260, 15324, 
3303, -3982, 14688, 
3471, -4451, 14780, 
3342, -4266, 15037, 
3624, -4079, 14851, 
3684, -4111, 14910, 
3687, -4140, 14920, 
3531, -4058, 15055, 
3382, -3929, 15312, 
3144, -3445, 15258, 
3083, -3310, 15286, 
3158, -3509, 15253, 
2747, -3297, 15328, 
2509, -3317, 15437, 
2391, -3036, 15485, 
2470, -2592, 15615, 
2149, -2760, 15631, 
1757, -2365, 15812, 
1367, -1739, 15935, 
775, -1258, 15908, 	
709, -1380, 15991, 	
1073, -1146, 15914, 
886, -1302, 15979, 	
901, -1211, 15976, 	
393, -824, 15960, 	
882, -1183, 15950, 	
921, -1232, 16072, 	
893, -1229, 16005, 	
821, -1262, 16003, 	
861, -1246, 15929, 	
970, -1243, 16027, 	
886, -1305, 15960, 	
1110, -1305, 15927, 
940, -1039, 15949, 	
942, -1294, 15973, 	
1107, -917, 15923, 	
1024, -1232, 16018, 
1249, -1164, 15949, 
1255, -1482, 16001, 
960, -988, 15965, 	
1069, -1003, 15989, 
924, -1002, 15955, 	
656, -685, 16136, 	
232, -214, 16000, 	
-551, -160, 16189, 	
-1281, 172, 16360, 	
-864, 645, 16143, 	
-164, 658, 15672, 	
-1105, 864, 16258, 	
-421, 1259, 15199, 	
-1042, 986, 16245, 	
-1298, 915, 16110, 	
-689, 1169, 16489, 	
-1100, 1090, 16078, 
-1039, 1213, 16094, 
-1137, 972, 16107, 	
-1101, 960, 16104, 	
-1576, 721, 16102, 	
-1104, 1135, 16079, 
-922, 901, 15601, 	
-1301, 1104, 16169, 
-1233, 1144, 16190, 
-1450, 875, 16752, 	
-1052, 982, 16320, 	
-1118, 1145, 16125, 
-822, 500, 16051, 	
-574, 387, 16082, 	
-402, 327, 16094, 	
-319, 239, 16110, 	
-852, 511, 16238, 	
-430, 383, 16222, 	
-462, -93, 16178, 	
163, -44, 16098, 	
351, -464, 16092, 	
1012, -804, 16107, 	
1186, -1240, 15987, 
505, -2280, 16239, 	
1708, -1539, 16071, 
1639, -1704, 15838, 
1654, -1714, 15749, 
1591, -1671, 15811, 
1595, -1643, 15954, 
1590, -1638, 15870, 
1621, -1743, 15841, 
1550, -1712, 15854, 
1303, -1657, 15902, 
1249, -1453, 15881, 
1437, -1313, 15969, 
1442, -1409, 15644, 
1444, -1443, 15845, 
1508, -1513, 15856, 
1452, -1572, 15899, 
1586, -1509, 15807, 
1576, -1573, 15865, 
1601, -1715, 15891, 
1629, -1640, 15941, 
